review_id,text,sentiment,rating,product_category,verified_purchase
1,Se rompió a los pocos días. El envío tardó demasiado.,negative,1,Books,True
2,El mejor que he probado. El mejor de su categoría.,positive,4,Home & Kitchen,False
3,Lo recomiendo ampliamente. Muy práctico y fácil de usar.,positive,4,Grocery,True
4,Pésima calidad. Tuve que devolverlo.,negative,2,Jewelry,False
5,Mala calidad de materiales. No coincide con la descripción.,negative,1,Office Products,False
6,Cumple con todo lo prometido. Mi familia quedó encantada.,positive,4,Home & Kitchen,True
7,De los mejores productos que he comprado. Mi familia quedó encantada.,positive,5,Jewelry,False
8,No vale la pena. La atención al cliente fue pésima.,negative,2,Office Products,True
9,Horrible experiencia de compra. Se rompió después de una semana.,negative,2,Home & Kitchen,True
10,Muy decepcionado con la compra. Se rompió después de una semana.,negative,2,Home & Kitchen,False
11,Producto de gran calidad. Mi familia quedó encantada.,positive,5,Sports & Outdoors,True
12,Horrible experiencia de compra. No coincide con la descripción.,negative,1,Grocery,True
13,Perfecto para lo que necesitaba. El mejor de su categoría.,positive,5,Books,False
14,Pésima calidad. El producto llegó roto.,negative,1,Sports & Outdoors,False
15,Increíble calidad por este precio. Lo volvería a comprar sin dudarlo.,positive,4,Sports & Outdoors,True
16,Decepción total. Tuve que devolverlo.,negative,2,Fashion,False
17,"Sin quejas, todo perfecto. Lo volvería a comprar sin dudarlo.",positive,5,Office Products,False
18,Producto tal como se describe. Resistente y duradero.,positive,4,Home & Kitchen,True
19,Nada especial pero funciona. Cumple sin brillar.,neutral,3,Fashion,False
20,Llegó dañado y no me reembolsaron. No lo recomendaría a nadie.,negative,2,Pet Supplies,False
21,Producto regular. Cumple sin brillar.,neutral,3,Home & Kitchen,False
22,Muy decepcionado con la compra. El envío tardó demasiado.,negative,2,Office Products,True
23,Producto tal como se describe. El envío fue rápido y el empaque perfecto.,positive,5,Grocery,True
24,No es malo ni bueno. Cumple sin brillar.,neutral,3,Grocery,True
25,Producto tal como se describe. El mejor de su categoría.,positive,4,Electronics,False
26,Increíble calidad por este precio. Mi familia quedó encantada.,positive,4,Toys & Games,True
27,Muy satisfecho con la compra. Resistente y duradero.,positive,4,Home & Kitchen,True
28,Producto tal como se describe. El envío fue rápido y el empaque perfecto.,positive,5,Toys & Games,False
29,Es aceptable por el precio. Cumple sin brillar.,neutral,3,Toys & Games,False
30,Promedio. Es lo que esperaba por ese precio.,neutral,3,Grocery,False
31,Muy satisfecho con la compra. Mi familia quedó encantada.,positive,4,Electronics,True
32,Muy decepcionado con la compra. El producto llegó roto.,negative,1,Books,True
33,Promedio. No destaca en nada.,neutral,3,Grocery,True
34,Lo recomiendo ampliamente. El mejor de su categoría.,positive,5,Fashion,False
35,Cumple con todo lo prometido. Lo compré para un regalo y fue un éxito.,positive,5,Books,True
36,Gran relación calidad-precio. Lo compré para un regalo y fue un éxito.,positive,5,Office Products,False
37,Producto regular. Cumple sin brillar.,neutral,3,Travel,True
38,Cumple con todo lo prometido. Lo uso a diario y funciona perfecto.,positive,5,Books,True
39,Producto de gran calidad. Lo compré para un regalo y fue un éxito.,positive,5,Fashion,False
40,Excedió todas mis expectativas. El mejor de su categoría.,positive,4,Home & Kitchen,True
41,Muy decepcionado con la compra. Se rompió después de una semana.,negative,1,Fashion,False
42,De los mejores productos que he comprado. Lo compré para un regalo y fue un éxito.,positive,4,Electronics,True
